Cust id,Age,Gender,Profession,Salary,Expenditure Allowance,No.of ppl in family,Recency,Frequency,Monetary Value,Frequently purchased product,Average views of the product,Spending score
32,19,Female,Teacher,113923,16639,1,19,0,6602,Product B,3.567273663,28
33,54,Female,Manager,68261,67542,1,4,1,7205,Product C,5.535946445,25
34,23,Male,Teacher,46079,66103,2,34,10,5139,Product B,3.888060991,31
35,36,Female,Engineer,294852,62568,8,93,10,2428,Product A,5.118500241,42
36,60,Male,Manager,296848,53550,2,12,8,4299,Product D,5.782603897,20
37,28,Male,Manager,160456,25725,5,26,3,7340,Product A,3.108399992,34
38,34,Female,Teacher,128210,51638,1,35,8,1302,Product D,6.310520333,18
39,51,Female,Doctor,264989,53535,9,49,18,5125,Product C,8.164262414,39
40,26,Male,Manager,116750,69115,6,51,13,3866,Product D,3.068339363,34
41,27,Male,Doctor,267758,53215,2,32,25,9000,Product E,3.273114194,49
42,21,Male,Doctor,196178,63853,6,23,14,2917,Product D,2.294714407,22
43,46,Male,Teacher,212368,21629,3,22,15,1682,Product B,3.084536098,17
44,24,Male,Manager,191856,61513,1,49,25,9457,Product D,6.269297114,56
45,19,Male,Engineer,69573,45920,4,89,15,7822,Product E,0.066124726,60
46,28,Female,Doctor,179794,74992,10,46,10,3835,Product C,0.309911797,31
47,19,Male,Manager,202091,72543,2,97,16,1553,Product C,8.692699288,42
48,21,Female,Manager,178067,42938,5,10,9,5989,Product C,7.491122539,26
49,36,Female,Engineer,260699,67016,6,23,25,2382,Product D,0.393374436,23
50,47,Male,Manager,290544,65076,1,47,1,4699,Product D,0.49863627,31
51,46,Female,Doctor,174525,17786,4,99,0,3064,Product D,1.879757986,43
52,44,Female,Doctor,247993,56045,4,2,11,9843,Product E,3.66214727,37
53,41,Male,Teacher,114418,31888,7,93,22,5350,Product C,1.414837038,56
54,48,Male,Engineer,287365,58358,3,58,15,4473,Product D,6.084752237,39
55,47,Female,Engineer,116693,17783,5,3,8,9829,Product A,6.664425885,36
56,61,Male,Engineer,132405,64077,2,48,12,5130,Product E,4.775046527,37
57,18,Male,Engineer,132352,20741,1,45,12,2383,Product C,2.053731978,26
58,55,Female,Teacher,234287,40427,10,29,25,8588,Product D,5.821568046,46
59,51,Female,Engineer,184721,51465,2,82,7,7525,Product E,8.991251432,54
60,31,Male,Doctor,240536,20399,8,85,9,9504,Product D,5.266946836,63
61,36,Female,Teacher,112143,74371,3,98,8,8213,Product C,2.674718565,62
62,24,Female,Teacher,141567,32066,9,31,6,9671,Product A,7.734616054,44
63,51,Male,Teacher,248026,67884,2,12,10,6084,Product E,2.523747376,27
64,54,Male,Manager,230675,22774,8,74,2,8698,Product B,8.382534613,54
65,27,Male,Engineer,228689,39262,10,87,10,5589,Product D,4.445250716,50
66,57,Male,Manager,58103,45251,7,90,7,9840,Product E,9.904553641,65
67,40,Female,Doctor,294169,66317,9,32,11,4008,Product C,7.436812868,27
68,22,Female,Engineer,116612,16859,3,32,3,1362,Product A,0.057626632,16
69,62,Male,Engineer,267738,28339,10,29,21,4784,Product D,3.551595042,32
70,35,Female,Manager,123399,30295,8,36,2,9579,Product A,4.030142943,44
71,25,Female,Manager,47601,71902,5,88,11,5120,Product E,2.199721961,50
72,47,Female,Manager,130510,19376,7,83,22,6367,Product B,2.038524624,56
73,24,Female,Teacher,297336,44350,1,69,9,6601,Product A,0.687034444,48
74,45,Male,Engineer,88473,22575,8,54,13,2243,Product B,6.408951031,29
75,41,Female,Manager,99295,60524,7,89,24,3367,Product D,0.223122849,48
76,25,Female,Teacher,266350,28607,3,85,7,3435,Product D,9.950839116,42
77,31,Female,Engineer,167616,16029,10,59,7,7335,Product D,2.109845087,46
78,45,Female,Doctor,263979,45682,1,11,15,1785,Product C,0.711697674,14
79,47,Male,Engineer,98519,43964,4,90,12,2684,Product C,4.355446024,42
80,43,Female,Teacher,51383,44123,10,25,23,8152,Product C,6.828098713,43
81,49,Male,Doctor,295489,43194,4,5,3,7907,Product E,8.494387635,29
82,43,Male,Teacher,173804,29921,3,13,15,6048,Product A,4.27779031,29
83,24,Male,Manager,299961,23951,10,42,14,8439,Product A,4.708101253,46
84,22,Female,Engineer,174245,19394,10,94,6,8069,Product A,5.827440819,60
85,51,Female,Manager,206638,45625,3,0,6,5666,Product A,9.354012406,20
86,30,Female,Doctor,179216,48583,7,27,21,4118,Product D,5.318023174,29
87,24,Female,Manager,281109,46586,10,48,2,4054,Product D,9.509769521,30
88,50,Female,Doctor,65791,22954,2,68,20,8354,Product E,8.428643748,57
89,30,Male,Manager,167256,49492,5,78,18,6984,Product C,2.862789535,55
90,65,Male,Doctor,175583,35672,7,79,14,7874,Product C,2.341811458,57
91,57,Male,Teacher,60592,71157,4,76,23,2121,Product E,3.93290099,40
92,42,Female,Doctor,287330,42882,9,63,14,1449,Product E,7.910731514,30
93,56,Female,Doctor,98110,41976,8,7,4,9718,Product C,2.407774741,36
94,49,Male,Teacher,254681,49909,3,18,16,9925,Product D,1.357749376,44
95,47,Male,Doctor,272047,70773,7,23,8,2433,Product A,9.198837389,18
96,52,Male,Manager,200507,37220,2,79,13,9069,Product B,1.619224378,60
97,22,Female,Engineer,107966,49986,1,40,10,5862,Product E,7.361350659,36
98,32,Male,Manager,207039,36995,4,65,12,5981,Product C,6.966152866,45
99,27,Male,Doctor,232264,67910,9,82,21,6615,Product A,1.145162503,56
100,30,Male,Manager,264419,54992,10,41,9,8323,Product E,3.463579552,44
101,19,Male,Manager,237868,42491,8,37,21,4818,Product D,4.505496334,35
102,64,Male,Teacher,276534,28568,6,98,23,7284,Product C,7.468582214,64
103,48,Female,Manager,35777,42501,3,30,14,3401,Product C,7.460634945,26
104,29,Female,Manager,248895,38162,1,5,8,7654,Product A,9.557819977,29
105,27,Male,Doctor,120043,48351,10,43,14,5895,Product C,9.127057439,38
106,31,Female,Doctor,81067,28221,4,42,11,4745,Product C,8.89125786,33
107,53,Female,Engineer,135260,40896,6,61,25,1125,Product C,2.999699107,32
108,63,Female,Engineer,61885,54721,10,68,17,4386,Product D,7.884636516,42
109,48,Female,Doctor,180187,32167,2,75,11,9378,Product B,1.748970679,59
110,18,Female,Teacher,183001,40792,8,28,9,7647,Product A,4.628200231,37
111,23,Female,Engineer,293183,42268,10,78,22,1826,Product B,7.003218475,39
112,57,Female,Teacher,76923,20736,10,87,23,8174,Product A,2.408098699,63
113,44,Female,Manager,127556,71240,7,81,8,2876,Product E,8.022305186,39
114,52,Male,Manager,151685,26917,10,6,23,8452,Product A,0.767780899,37
115,65,Male,Manager,31572,73230,8,58,20,4252,Product A,5.952887974,40
116,53,Female,Teacher,209811,15111,8,25,9,7160,Product D,8.114076245,35
117,44,Female,Engineer,155356,65685,9,77,12,6192,Product C,6.0858732,50
118,26,Female,Engineer,36011,23286,5,79,7,8017,Product A,4.161008488,55
119,51,Female,Manager,230778,25954,6,59,11,6145,Product A,5.463246902,43
120,24,Female,Engineer,196909,55233,8,52,22,6386,Product E,9.298784092,45
121,26,Male,Teacher,186133,19542,4,4,0,1661,Product E,1.07179236,6
122,18,Male,Doctor,150629,31773,2,27,7,4988,Product A,6.769930403,27
123,63,Male,Teacher,175879,60221,5,84,14,2216,Product B,3.920784925,40
124,54,Female,Engineer,163486,28971,3,44,3,8116,Product E,2.441478833,42
125,27,Female,Teacher,177541,28938,1,41,7,2086,Product E,2.49940747,22
126,20,Female,Doctor,225791,60823,1,99,5,4358,Product C,1.828948729,49
127,54,Male,Manager,122894,64777,7,88,15,2269,Product D,6.203897355,41
128,32,Male,Engineer,264130,33654,4,28,17,5379,Product C,7.622450338,32
129,32,Female,Doctor,287209,29068,9,33,24,6938,Product A,3.336399881,42
130,44,Male,Manager,223408,21436,2,0,6,9971,Product B,9.785063174,35
131,37,Male,Doctor,84031,46787,4,98,9,1898,Product C,6.254850231,41
132,49,Male,Teacher,128790,58073,2,58,20,1424,Product C,2.923017693,30
133,43,Male,Manager,63724,62867,10,72,0,7108,Product C,7.137590391,47
134,61,Male,Engineer,42578,51895,7,65,22,5654,Product D,0.350316188,47
135,63,Male,Manager,78043,59709,10,49,19,3509,Product C,2.29218882,34
136,37,Female,Teacher,245256,34792,4,74,7,9439,Product C,2.289434127,58
137,21,Female,Manager,65498,51972,1,1,24,4222,Product C,8.345556583,22
138,40,Female,Teacher,71553,40973,1,14,3,9049,Product A,2.272066149,35
139,23,Male,Manager,219879,58236,2,68,13,2861,Product A,2.734991974,36
140,37,Female,Teacher,250508,70880,1,34,1,5132,Product C,2.415366358,28
141,48,Female,Doctor,222929,63966,6,87,19,6096,Product D,2.001240433,55
142,41,Male,Engineer,95759,53175,7,8,17,3409,Product D,0.32089284,19
143,56,Male,Teacher,177172,43853,10,11,6,7270,Product D,1.921938966,29
144,46,Female,Teacher,259123,42017,4,49,25,8688,Product D,6.028369196,53
145,49,Female,Engineer,235367,70298,1,40,21,3576,Product A,7.700868177,32
146,38,Male,Doctor,80733,63243,2,37,25,2303,Product E,3.817714032,28
147,25,Male,Teacher,263327,72998,4,47,21,9162,Product D,8.178800762,53
148,23,Male,Manager,242203,49107,6,2,1,9719,Product A,0.729286686,33
149,57,Male,Engineer,254810,63146,10,53,9,6913,Product D,8.112567094,43
150,50,Female,Teacher,45510,70580,3,49,0,4036,Product C,9.198185061,29
151,47,Female,Engineer,209970,66135,9,97,11,4684,Product B,5.206726031,51
152,39,Female,Engineer,153598,57145,1,22,11,1529,Product D,6.97362297,16
153,46,Male,Manager,280473,51894,1,81,10,4428,Product A,2.983111508,45
154,63,Male,Doctor,94874,42050,9,3,3,9865,Product E,8.196272886,34
155,58,Male,Teacher,127762,61286,7,14,6,9823,Product C,0.555909592,39
156,54,Male,Teacher,247020,37496,9,75,19,8047,Product A,3.937043137,58
157,33,Female,Teacher,171093,31245,7,18,2,7262,Product A,4.007653803,30
158,42,Female,Doctor,177718,39073,3,80,3,6674,Product B,3.431841096,49
159,33,Male,Teacher,72719,56523,2,62,19,2325,Product D,5.770342125,34
160,26,Male,Doctor,56628,58041,3,70,12,8187,Product E,9.788046469,54
161,41,Female,Manager,85337,53984,1,59,1,3516,Product A,5.04031837,31
162,62,Female,Engineer,79501,42835,3,26,21,5080,Product E,0.003042686,32
163,47,Male,Doctor,274187,53110,2,39,9,8308,Product D,4.35845943,43
164,41,Male,Teacher,198228,37643,9,18,6,4101,Product D,4.61196866,21
165,56,Female,Teacher,203871,65043,1,19,8,7259,Product B,4.925663701,33
166,20,Male,Teacher,155308,27482,3,41,12,1605,Product C,1.806123279,23
167,32,Male,Teacher,160188,57148,7,38,23,6530,Product B,9.637762476,42
168,59,Male,Manager,265927,39698,2,36,23,5016,Product C,8.191452433,36
169,25,Female,Doctor,133092,60027,4,73,11,7506,Product D,8.820061247,53
170,33,Female,Teacher,210764,51202,5,78,24,1111,Product E,6.003371968,37
171,63,Male,Doctor,233082,73582,9,74,9,8052,Product E,3.514671663,54
172,36,Female,Doctor,128999,52207,5,66,20,9655,Product B,9.234541196,60
173,45,Male,Engineer,119777,56421,1,69,18,8892,Product B,4.267809577,58
174,37,Male,Manager,247295,41030,10,41,2,1548,Product A,6.807794628,19
175,34,Female,Manager,52774,38879,8,66,4,2809,Product D,3.200867593,32
176,30,Female,Teacher,214996,62918,4,58,10,4911,Product A,1.485777835,39
177,64,Male,Engineer,170678,67236,9,60,5,6078,Product B,2.529036631,41
178,19,Male,Doctor,145552,61136,5,28,4,7314,Product A,4.085317889,35
179,61,Male,Manager,187959,53912,7,24,4,7499,Product C,4.755695662,34
180,50,Male,Engineer,260454,33887,3,26,19,5239,Product C,3.773385549,32
181,54,Female,Engineer,57098,37554,7,22,18,4403,Product B,8.00600076,28
182,55,Male,Manager,93214,21586,3,7,7,8346,Product D,4.467294025,32
183,56,Female,Manager,164595,57346,1,35,7,4463,Product E,7.01421265,28
184,55,Male,Manager,91080,64816,6,18,13,2224,Product E,1.263129954,17
185,51,Male,Manager,270383,29102,1,24,13,8556,Product D,9.883849604,40
186,55,Male,Teacher,122103,69609,3,53,8,1527,Product D,8.165785914,25
187,46,Male,Teacher,253119,28407,7,1,0,3676,Product A,6.230220357,12
188,48,Male,Engineer,241670,15532,1,55,20,2101,Product A,7.539975866,32
189,39,Female,Doctor,68970,68513,5,64,14,4400,Product A,0.780184803,40
190,29,Female,Manager,43631,17335,9,23,1,3786,Product E,3.40357425,20
191,40,Male,Teacher,205963,37914,7,57,17,4435,Product C,8.337641663,39
192,35,Female,Manager,83267,71405,8,90,4,4567,Product A,5.554276129,46
193,47,Female,Engineer,271028,16255,7,77,6,5197,Product B,0.792169288,44
194,36,Male,Teacher,168058,52685,7,49,9,3179,Product C,0.143608219,29
195,56,Female,Engineer,148730,72141,2,73,5,6724,Product D,7.293309593,48
196,21,Female,Engineer,93358,18513,8,66,13,3561,Product B,0.033767994,38
197,31,Female,Doctor,186374,70994,9,45,0,6866,Product A,1.100423109,37
198,46,Female,Doctor,84091,34197,4,79,21,4342,Product B,8.581667249,47
199,43,Male,Doctor,188700,36506,9,62,5,8033,Product C,4.857159621,49
200,49,Female,Engineer,133726,27761,4,73,17,9552,Product E,2.089406424,61
201,45,Male,Teacher,56091,59838,4,9,2,3811,Product E,4.345126935,16
202,37,Male,Engineer,149057,54021,6,33,16,8998,Product C,5.218066273,46
203,54,Female,Manager,236054,15933,9,88,6,7992,Product D,1.827424407,57
204,62,Female,Engineer,213811,15803,5,82,20,9085,Product D,0.2680401,64
205,23,Male,Engineer,66937,36469,3,23,25,7963,Product E,4.346877625,42
206,23,Male,Engineer,119620,23028,6,19,19,2018,Product B,6.976537924,19
207,49,Female,Doctor,171174,42425,6,70,25,3361,Product E,8.326202967,42
208,41,Female,Teacher,130287,54969,2,45,16,1784,Product E,7.489153827,26
209,33,Female,Engineer,92325,33571,3,67,6,8548,Product D,2.175301514,52
210,60,Male,Teacher,130441,67463,6,82,24,2605,Product B,8.689662365,44
211,56,Male,Teacher,72076,61334,3,81,4,6419,Product C,2.269347564,49
212,58,Male,Engineer,204345,39551,8,90,22,1538,Product A,6.793607771,42
213,25,Female,Doctor,134609,58803,2,98,23,3449,Product B,0.021087018,51
214,58,Female,Manager,140813,42998,6,82,4,1505,Product B,6.954256575,33
215,64,Female,Doctor,275506,55640,2,68,1,1557,Product C,5.421946561,28
216,60,Male,Doctor,69453,67114,10,47,7,2929,Product E,8.740124386,27
217,23,Female,Manager,252976,31972,1,81,24,3502,Product E,3.615674908,46
218,24,Female,Teacher,30094,73153,10,37,21,2916,Product E,6.451859318,29
219,45,Female,Teacher,53096,59971,6,6,5,9178,Product D,6.934633569,34
220,55,Female,Manager,295302,23841,1,71,6,1135,Product B,2.203253348,29
221,51,Male,Doctor,180025,61014,2,45,23,3925,Product D,8.766483697,35
222,52,Female,Manager,265612,61964,6,48,0,7431,Product A,4.397925908,40
223,29,Female,Doctor,179810,34001,2,89,15,2986,Product B,5.342012258,44
224,23,Male,Engineer,45686,35287,7,49,16,2356,Product E,7.642472472,29
225,22,Male,Engineer,44687,35348,6,66,25,7616,Product C,6.004647632,55
226,20,Male,Teacher,55156,21884,4,52,5,2258,Product D,7.920046374,26
227,40,Female,Engineer,146653,60043,7,46,22,1001,Product A,2.236525788,26
228,40,Male,Doctor,76856,58391,2,10,23,4796,Product B,0.001085547,26
229,31,Female,Engineer,251183,36425,3,33,25,4673,Product E,5.471936144,34
230,39,Female,Manager,142955,16360,1,18,23,9130,Product A,7.053978678,44
231,48,Female,Teacher,60130,39687,6,82,22,5958,Product A,7.481931814,54
232,53,Male,Doctor,143007,41746,10,73,4,3435,Product B,2.837013507,37
233,42,Female,Doctor,166737,15678,2,81,6,9106,Product D,0.476876475,59
234,33,Male,Engineer,137240,47636,7,67,6,8361,Product E,7.5698545,52
235,59,Male,Teacher,48706,41793,3,77,5,3828,Product C,9.095800932,40
236,45,Male,Manager,297267,25146,3,4,19,7682,Product D,5.631682738,33
237,36,Male,Teacher,226598,49769,10,58,23,7668,Product B,5.798021421,52
238,23,Female,Doctor,262721,55638,2,25,4,6442,Product E,9.245141797,31
239,27,Male,Doctor,174247,37265,6,92,17,6345,Product E,4.952251725,57
240,40,Female,Manager,69673,17160,8,31,24,5041,Product E,0.338124988,35
241,44,Female,Teacher,79795,21610,7,54,12,8364,Product B,4.719331396,49
242,25,Male,Doctor,62119,73864,1,92,2,4178,Product E,1.897723251,45
243,45,Male,Doctor,32825,32537,2,98,14,6322,Product E,9.792854259,58
244,51,Male,Doctor,135720,60486,9,34,0,7213,Product A,1.697913022,35
245,63,Female,Engineer,247332,43246,9,59,1,6144,Product E,6.217723241,40
246,24,Male,Manager,152189,22601,9,80,0,7437,Product E,2.002932005,51
247,47,Male,Manager,160978,72226,7,29,21,5562,Product B,5.833587544,35
248,59,Female,Teacher,157037,32357,1,24,13,1983,Product D,8.776947167,18
249,65,Female,Teacher,79088,26692,7,58,25,3471,Product A,5.506232352,39
250,61,Male,Doctor,63985,17013,8,88,7,3617,Product A,9.845077432,43
251,39,Female,Manager,142609,27348,1,67,15,5190,Product B,8.330068203,44
252,49,Female,Manager,89664,62086,10,26,2,1470,Product B,3.373223851,14
253,43,Male,Manager,225671,60956,8,15,6,8554,Product D,3.693624073,35
254,49,Female,Engineer,177811,22840,3,29,20,7966,Product E,8.950583912,42
255,58,Male,Teacher,226712,54903,7,74,25,8758,Product D,0.241807044,62
256,57,Male,Teacher,192600,26723,10,36,13,5009,Product A,0.72489597,33
257,62,Male,Manager,101552,35821,2,64,14,4299,Product B,8.533793714,40
258,24,Male,Doctor,191114,45116,4,32,0,6379,Product D,4.277394744,31
259,48,Male,Doctor,63304,61446,6,20,13,2923,Product C,8.732986743,20
260,38,Female,Teacher,271311,21847,5,21,25,7312,Product D,9.083852437,39
261,57,Male,Teacher,231458,25957,2,96,2,1896,Product B,5.634263116,38
262,34,Female,Manager,182316,56483,4,94,19,6668,Product B,3.164652259,59
263,36,Female,Manager,124847,15073,8,14,22,3278,Product B,2.173509486,22
264,31,Male,Engineer,214820,64752,4,43,0,3104,Product B,4.144983262,24
265,39,Male,Teacher,255816,15998,6,74,3,4290,Product E,2.770626975,39
266,20,Male,Manager,117893,43371,2,87,21,4081,Product B,2.783306638,49
267,56,Male,Teacher,243702,39153,5,4,15,2645,Product D,2.467202797,15
268,22,Female,Manager,245069,72308,7,44,19,5650,Product C,4.809562968,39
269,50,Male,Teacher,112498,36984,8,14,5,2571,Product A,6.373498527,14
270,43,Male,Doctor,248000,52510,9,44,5,5690,Product A,8.115035412,35
271,33,Female,Doctor,256186,21676,1,9,10,2070,Product C,4.87097944,13
272,33,Male,Teacher,33511,37794,8,46,12,7696,Product D,5.078280756,44
273,41,Male,Engineer,115332,40205,5,50,1,9648,Product C,8.47699897,49
274,37,Female,Doctor,50293,,,,,4852,Product E,3.320933782,35
275,53,Female,Teacher,125704,,,,,2094,Product D,3.811768711,14
276,32,Female,Teacher,295250,,,,,1831,Product A,4.322614118,26
277,60,Male,Engineer,240566,,,,,8950,Product E,4.125410146,50
278,64,Female,Doctor,194479,,,,,9349,Product E,9.971105746,47
279,61,Female,Doctor,42364,,,,,2361,Product E,9.842503932,15
280,37,Female,Engineer,116705,,,,,5725,Product E,7.846589012,32
281,42,Male,Teacher,196762,,,,,9627,Product E,1.151022364,51
282,59,Male,Teacher,166887,,,,,5373,Product E,2.168083627,47
283,30,Male,Teacher,205435,,,,,2590,Product D,9.954474883,32
284,37,Male,Manager,116212,,,,,9742,Product E,9.927518788,71
285,49,Female,Manager,235976,,,,,5790,Product B,5.45270015,48
286,23,Male,Engineer,260794,,,,,2096,Product B,9.103928752,37
287,29,Female,Engineer,130482,,,,,4901,Product A,5.450510074,45
288,19,Female,Engineer,247374,,,,,9535,Product D,1.233351136,45
289,37,Female,Doctor,267163,37734,7,89,0,3905,Product E,2.757503899,42
290,61,Female,Manager,37428,56257,9,80,11,3792,Product E,3.74787756,42
291,27,Male,Engineer,226218,25922,3,49,7,5941,Product B,9.544108462,38
292,50,Female,Manager,269918,50829,1,34,8,8050,Product A,0.690278633,40
293,60,Female,Teacher,164801,58273,1,74,12,7479,Product B,4.759197183,53
294,28,Female,Manager,295120,22101,3,28,5,7161,Product B,5.046100739,34
295,18,Female,Engineer,285484,72154,1,72,8,9990,Product E,5.171817312,59
296,33,Female,Manager,232537,33272,7,51,11,8250,Product D,8.90986416,48
297,39,Male,Doctor,180520,17572,7,57,10,9373,Product E,8.724859296,53
298,22,Male,Engineer,228556,55508,6,97,6,8175,Product B,2.182360635,61
299,50,Female,Manager,166430,15076,5,3,16,3062,Product C,3.050562311,16
300,44,Male,Engineer,194992,25015,6,57,13,4774,Product C,1.328048424,39
301,52,Male,Doctor,240669,18330,5,9,22,4299,Product D,1.237934302,24
302,19,Male,Manager,168520,21125,3,62,22,4197,Product A,9.952169207,41
303,21,Male,Doctor,55903,23059,3,30,7,4800,Product B,6.639157932,28
304,49,Female,Engineer,191574,52998,5,81,12,2155,Product C,0.059018943,38
305,39,Female,Teacher,71029,64511,4,41,24,5357,Product D,4.689027005,39
306,47,Male,Manager,249180,49948,10,44,9,4012,Product E,5.732343963,31
307,58,Male,Doctor,41329,56271,2,8,17,1880,Product C,2.535562565,14
308,24,Female,Teacher,64951,36882,6,97,22,9414,Product E,3.563732594,71
309,38,Male,Engineer,61915,19555,7,74,18,4036,Product C,9.193990618,44
310,49,Female,Manager,43589,54235,4,27,12,9492,Product A,9.966419462,44
311,35,Male,Teacher,125297,54419,4,30,15,2203,Product A,5.208877083,22
312,54,Male,Teacher,75030,49694,1,61,17,9759,Product D,0.972240605,58
313,31,Female,Teacher,297900,32401,10,85,21,1024,Product E,2.257846856,38
314,49,Female,Engineer,184385,34248,10,76,9,3229,Product A,5.78457437,39
315,33,Female,Manager,254486,21616,6,9,20,4097,Product D,7.338056444,23
316,38,Male,Engineer,197888,60027,3,33,11,7201,Product A,7.231657037,38
317,32,Female,Manager,128263,23953,7,53,11,7439,Product B,0.393735678,46
318,46,Female,Teacher,100777,23995,2,15,15,4805,Product D,4.332035392,26
319,54,Female,Doctor,69177,22115,6,6,20,7219,Product E,2.720832531,32
320,21,Male,Engineer,220424,21227,5,12,20,2398,Product B,5.399403075,18
321,31,Female,Engineer,259010,57057,7,94,6,8331,Product B,5.247665985,61
322,48,Male,Manager,191044,21049,2,2,6,9959,Product A,9.554772154,35
323,28,Male,Engineer,223552,20521,7,64,21,7843,Product B,7.934954121,54
324,52,Female,Manager,287199,51912,4,70,22,3502,Product A,4.641176848,42
325,64,Male,Doctor,165342,71310,1,34,6,4864,Product D,5.63269051,29
326,23,Female,Doctor,198329,24435,4,73,2,4601,Product D,3.495061587,40
327,60,Male,Teacher,248474,54269,10,4,12,2617,Product A,9.671548839,14
328,24,Male,Engineer,263238,36029,3,16,4,6122,Product D,6.080302415,27
329,49,Female,Engineer,236354,36972,7,86,20,1397,Product E,6.230045432,39
330,54,Female,Doctor,255619,65147,2,64,12,1521,Product C,3.998822803,30
331,58,Female,Manager,95646,44956,8,49,2,9305,Product A,4.389419532,48
332,54,Female,Engineer,60673,49009,9,96,14,3023,Product D,9.659622348,46
333,53,Female,Engineer,254105,23900,9,68,13,5333,Product D,2.648517292,44
334,37,Male,Doctor,97358,45048,9,13,21,1885,Product C,3.898731003,17
335,54,Female,Teacher,131930,17420,2,25,5,9943,Product B,4.590505624,43
336,38,Female,Manager,156874,37900,5,59,4,3317,Product E,3.124507289,32
337,64,Male,Engineer,261662,35232,10,20,4,9381,Product B,1.868951089,39
338,21,Male,Engineer,128504,17267,5,43,17,9829,Product C,1.430767206,52
339,44,Female,Engineer,224981,59563,4,53,5,6636,Product D,5.300783812,41
340,39,Male,Doctor,235388,50551,2,72,14,6189,Product E,3.538604283,49
341,25,Female,Engineer,160755,31460,8,34,11,8495,Product E,3.057166849,43
342,53,Female,Engineer,70734,73271,6,33,22,8882,Product C,8.411537787,47
343,18,Female,Doctor,226520,36480,9,84,25,8617,Product D,7.646267649,65
344,52,Female,Manager,112548,23683,10,44,20,7877,Product A,7.37847261,47
345,23,Male,Doctor,102356,42696,7,70,3,1735,Product D,1.83961507,30
346,41,Male,Manager,248787,62202,10,26,11,4944,Product D,8.177539772,28
347,23,Male,Manager,122860,29586,1,71,5,2343,Product D,0.337740979,33
348,49,Male,Teacher,272888,52283,8,68,2,3635,Product D,3.377802343,35
349,18,Male,Engineer,88006,41721,2,37,9,2446,Product D,7.261899225,23
350,21,Male,Teacher,166239,43313,1,20,11,5036,Product E,9.882089253,27
351,43,Male,Manager,263088,73908,1,41,19,9853,Product D,3.478097134,52
352,55,Female,Doctor,222840,72136,3,85,22,6391,Product D,8.117753717,56
353,21,Female,Doctor,169086,65578,4,79,19,9827,Product B,5.596591527,65
354,23,Female,Manager,94487,73348,10,86,6,5238,Product C,8.341380552,48
355,26,Male,Manager,266287,35270,1,98,15,2043,Product A,5.24151762,44
356,27,Male,Engineer,37749,36775,3,35,19,2292,Product E,6.281377716,25
357,39,Female,Manager,75548,32663,3,32,0,4225,Product B,8.143451905,24
358,19,Male,Manager,254545,49260,7,13,19,8348,Product E,6.01131794,38
359,44,Male,Manager,222575,64427,7,36,6,7651,Product D,5.411077414,39
